productID,productName,productPrice,supplierID,supplierName,storeID,storeName
2,Dell XPS 13 Laptop,1299.99$,2,Dell Technologies,2,Tech Haven
21,DJI Mavic Air 2 Drone,799.99$,20,DJI,6,Photo World
29,AOC CQ32G1 Curved Gaming Monitor,349.99$,27,AOC International,4,Game Zone
11,LG OLED C1 4K TV,2499.99$,11,LG Electronics,1,Electro Mart
99,Jabra Elite 75t True Wireless Earbuds,149.99$,37,Jabra,3,Sound Zone
81,Acer Predator X34 Curved Gaming Monitor,999.99$,27,Acer Inc.,4,Game Zone
95,Lenovo ThinkPad X1 Carbon Gen 9 Laptop,1899.99$,32,Lenovo Group,2,Tech Haven
97,Google Nest Audio Smart Speaker,99.99$,22,Google LLC,3,Sound Zone
22,Corsair K95 RGB Platinum XT Mechanical Gaming Keyboard,199.99$,21,Corsair,4,Game Zone
72,Fujifilm X100V Compact Camera,1399.99$,36,Fujifilm Holdings Corporation,6,Photo World
91,Logitech G502 HERO Gaming Mouse,79.99$,12,Logitech,4,Game Zone
8,Alienware Aurora Gaming PC,1799.99$,8,Alienware (Dell),5,InnoTech
76,ASUS TUF Gaming VG279QM Monitor,349.99$,23,ASUS,4,Game Zone
65,JBL Charge 4 Portable Bluetooth Speaker,149.99$,24,JBL,3,Sound Zone
79,Canon EOS 90D DSLR Camera,1199.99$,19,Canon Inc.,6,Photo World
73,Apple iPad Pro (12.9-inch),1099.99$,1,Apple Inc.,2,Tech Haven
41,HyperX Cloud II Gaming Headset,99.99$,34,HyperX (Kingston Technology),4,Game Zone
89,Canon EOS-1D X Mark III DSLR Camera,6499.99$,19,Canon Inc.,6,Photo World
5,iPad Air,599.99$,5,Apple Inc.,2,Tech Haven
10,Fitbit Charge 5,179.99$,10,Fitbit Inc.,7,Health Zone
78,Lenovo Yoga C930 2-in-1 Laptop,1199.99$,32,Lenovo Group,2,Tech Haven
85,HP Pavilion 27xw Monitor,249.99$,30,HP Inc.,2,Tech Haven
20,Apple Watch Series 7,399.99$,1,Apple Inc.,7,Health Zone
92,Amazon Echo Show 10 (3rd Gen),249.99$,45,"Amazon.com, Inc.",1,Electro Mart
57,Sony Alpha 7C Mirrorless Camera,1799.99$,16,Sony Corporation,6,Photo World
53,OnePlus Buds Pro,149.99$,29,OnePlus Technology,3,Sound Zone
94,Bose SoundLink Revolve+ Bluetooth Speaker,299.99$,14,Bose Corporation,3,Sound Zone
59,NVIDIA GeForce RTX 3080 Graphics Card,699.99$,40,NVIDIA Corporation,5,InnoTech
80,Anker Soundcore Flare+ Portable Speaker,99.99$,31,Anker Innovations,3,Sound Zone
100,Microsoft Surface Pro 7,799.99$,15,Microsoft Corporation,2,Tech Haven
51,MacBook Pro M2,1999.99$,1,Apple Inc.,2,Tech Haven
31,MacBook Air M2,1199.99$,1,Apple Inc.,2,Tech Haven
46,MSI GS66 Stealth Gaming Laptop,1999.99$,35,MSI (Micro-Star International),5,InnoTech
39,Apple AirPods Max,549.99$,1,Apple Inc.,3,Sound Zone
44,Corsair Virtuoso RGB Wireless Gaming Headset,179.99$,21,Corsair,4,Game Zone
47,Fujifilm X-T4 Mirrorless Camera,1499.99$,36,Fujifilm Holdings Corporation,6,Photo World
28,Fitbit Versa 3 Smartwatch,229.99$,10,Fitbit Inc.,7,Health Zone
75,Ring Video Doorbell Pro 2,249.99$,42,Ring (Amazon),1,Electro Mart
19,Nikon D850 DSLR Camera,2999.99$,19,Nikon Corporation,6,Photo World
36,Anker Soundcore Liberty Air 2 Pro Earbuds,129.99$,31,Anker Innovations,3,Sound Zone
32,SteelSeries Arctis Pro Wireless Gaming Headset,329.99$,28,SteelSeries,4,Game Zone
37,Lenovo Legion 5 Gaming Laptop,999.99$,32,Lenovo Group,5,InnoTech
70,Sennheiser HD 660 S Open-Back Headphones,499.99$,41,Sennheiser,3,Sound Zone
16,Sony A7 III Mirrorless Camera,1999.99$,16,Sony Corporation,6,Photo World
23,Google Pixel 6,699.99$,22,Google LLC,1,Electro Mart
82,Apple Watch SE,279.99$,1,Apple Inc.,7,Health Zone
90,Apple AirPods (3rd generation),179.99$,1,Apple Inc.,3,Sound Zone
52,ROCCAT Vulcan Pro Mechanical Gaming Keyboard,199.99$,38,ROCCAT (Turtle Beach),4,Game Zone
40,Roku Ultra 4K Streaming Player,99.99$,33,"Roku, Inc.",1,Electro Mart
7,AirPods Pro,249.99$,7,Apple Inc.,3,Sound Zone
87,Beats Powerbeats Pro Wireless Earphones,249.99$,44,Beats by Dre (Apple Inc.),3,Sound Zone
24,ASUS ROG Swift PG279Q Gaming Monitor,699.99$,23,ASUS,4,Game Zone
66,Acer Aspire 5 Laptop,549.99$,25,Acer Inc.,2,Tech Haven
49,Acer Predator XB271HU Gaming Monitor,599.99$,27,Acer Inc.,4,Game Zone
101,Red Tomatoes,1899.99$,51,Pakistan,51,Pakistan
88,Dell Inspiron 14 Laptop,799.99$,2,Dell Technologies,2,Tech Haven
54,Dell Alienware AW3420DW Curved Gaming Monitor,1199.99$,8,Alienware (Dell),4,Game Zone
58,Apple HomePod Mini,99.99$,1,Apple Inc.,3,Sound Zone
27,GoPro HERO10 Black Action Camera,499.99$,26,GoPro Inc.,6,Photo World
56,HP Omen 15 Gaming Laptop,1299.99$,30,HP Inc.,5,InnoTech
35,LG C1 OLED 4K TV,2799.99$,11,LG Electronics,1,Electro Mart
61,Samsung Galaxy Watch 4 Classic,349.99$,13,Samsung Electronics,7,Health Zone
83,HyperX Alloy FPS Pro Mechanical Gaming Keyboard,69.99$,34,HyperX (Kingston Technology),4,Game Zone
71,Dell G5 Gaming Desktop,1299.99$,2,Dell Technologies,5,InnoTech
96,Nikon Z6 Mirrorless Camera,1999.99$,19,Nikon Corporation,6,Photo World
26,Acer Predator Helios 300 Gaming Laptop,1199.99$,25,Acer Inc.,5,InnoTech
45,Google Nest Hub (2nd Gen),99.99$,22,Google LLC,1,Electro Mart
4,Sony WH-1000XM4 Headphones,349.99$,4,Sony Corporation,3,Sound Zone
